Name,Author,Rating,Review
Zamek w Krasiczynie | Hotel | Restauracja Rene...,Amarok Sh,4,"Castle itself is awesome, however park is somehow wild. As to hotel, rooms are large and beds are comfy, bathroom requires renovations. Breakfast is moderate"
Zamek w Krasiczynie | Hotel | Restauracja Rene...,Anya Nura,4,"Rather beautiful palace that you can see both inside and outside. The inside has several halls that you can visit with a guide. The walls are nicely restored and the palace looks quite nice. And you can also go around the palace and enjoy the garden. Of course, it’s better to do in warm time of the year. There is on-site hotel next to the palace where you can stay. There is a restaurant on the ground as well. Please, note that you need to pay to enter this park. Parking is also possible inside if you visit the restaurant. If you visit the park/palace only, you need to find parking outside. In general it’s a good place to visit, take a walk, try some food, etc."
Zamek w Krasiczynie | Hotel | Restauracja Rene...,Cursed Spongebob,5,Big pond big and nice rooms would recommend
Zamek w Krasiczynie | Hotel | Restauracja Rene...,Chris Martinez,5,Stay at a castle.. it’s nice!
Zamek w Krasiczynie | Hotel | Restauracja Rene...,Sam,5,"Amazing castle, steeped in history. Absolute must for a visit if you are in this part of Poland. Well worth getting a guided tour great story telling by the guide too (although hardly impartial!). It does, however have a fascinating history. Dungeons are interesting too, in a weird sort of way, never ceases to amaze me how cruel people can be to each other."
Riegersburg Castle,Rea Rubio-Stock,5,"It was an amazing tour! The audio translator helps of understanding the history, glad they have it for free! I did enjoy the inside castle tour and the amazing scenic view outside from the top going down to the city👍🏻"
Riegersburg Castle,Åsa Hidmark,4,"Firstly, we did the schnitzel jagt and it was too difficult for us 😬. No seriously we went to all the three museums, Hexen, Waffen, Burg. There was alot of informative text, however sometimes too much, if you go with kids. None of the text on the walls was in English (obs audio may have been available in English I don’t know). Its well worth a visit. The playground outside is great. The insights into the brutality of the rule of the nobility is gruesome."
Riegersburg Castle,Oleksandr Protsenko,5,"Fortress on the rock. A fortress with a double moat. A fortress that has not been conquered by anyone for many centuries. The fortress was built by Rüdiger in 1122. However, the fortress got its current appearance in the 17th century. The fortress belongs to the Liechtenstein family since 1822. Now the exposition of the fortress consists of 3 museums - the Museum of Weapons, the Museum of Witches (many people were accused and killed for witchcraft, for wreaking havoc, for drought, for bad weather, etc.) and the Museum of the Castle itself. Very interesting. The entrance ticket costs 21.50 euros. Interesting, beautiful, nice view!"
Riegersburg Castle,Daniel Coulton Shaw (daniel shaw),5,Amazing day trip for the family. Great Ferrara which ends in the restaurant and a very interesting castle tour with weapons and witches.  Afterwards try a trip for cake and coffee to the nearby zotter chocolate factory.
Riegersburg Castle,Bernadett Turul,4,"Really pretty place to visit during summer. They use a cable car to get you up to the castle. You can also get an audio guide to learn more about the history of the castle. The castle hosts a witch museum, a weapon museum.  The only downside is the price and the lack of english speaking knowledge. Fortunately when we went there with family, one of the employees could speak English, but otherwise we would have to use hand gestures or translator apps."
Kost,Brian Webber,5,Great display of medieval swordsmanship and horse riding. The show was great for children and funny for those who understand Czech. Castle tour was interesting - there's an extra description available in English.
Kost,Brian Stukel,5,"Went with friends and family from the USA. For some it was their first experience with a real castle.  Loved it! To listen to 40 year old ""boys"" talking excitedly about which weapons they would prefer during the times of castles was priceless."
Kost,Joe Lobotka,4,"Very scenic and popular castle in the heart of Czech Paradise.  If you drive in earlier in the morning, you can face issues with securing a parking spot nearby. There's also an alternative (safer) option to leave the car on some free spot few kms down the forest hiking trail and take an easy walk to the castle.  I arrived just before the tours started and there was a surprising amount of people already waiting to enter (> 100). Because the castle's name is ""Kost"", which can be translated as a ""bone"", the castle very dog-friendly.  There is also a restaurant, several Czech fast food kiosks and an outside grill specialties venue in the back, but I found the servings small and quite overpriced. They also draft a locally brewed beer.  Nice place to visit for an hour or two if you happen to be around. However, I wouldn't come here from a far away."
Kost,katherine197,5,The best preserved gothic castles in the area. I highly recommend visiting! Our tour guide was amazing and answered any questions we had.
Kost,April Hoskins,5,Beautifully restored medieval castle with rooms thoughtfully decorated to give an idea of living and customs of the eras. Highly recommend a visit.
Karlštejn Castle,Nick Ivanov (William von Bock),4,"The outside of the castle is amazing. I was on an excursion on the first route - rather meager in the sense that there are very few exhibits and everything that is rather boring and uninteresting. Also, be prepared for the fact that there will be children, especially small ones, who will cry, run, and in every possible way interfere with listening to the guide. But in general, the castle is very beautiful and classy."
Karlštejn Castle,Sabina Mostafa,5,Beautiful castle and the village. We went by train from Prague main train station. It's cost us £18 up and down. Spend only few hours. Wish could go earlier. But managed to have a tour inside the castle last one.
Karlštejn Castle,Brian Planchard,5,"A very impressive castle outside of Prague that used to house the Bohemian Crown Jewels. Once you park in the lot at the base of the town, you can either walk to 2 km up the hill to the castle or pay a van service to take you to near the castle. I used the van service, it was worth it. The castle itself has several tours, I went on the Charles IV apartments tour, which only goes into two of the three main buildings. The high tower is a separate tour that was sold out. The tour I went on was nice, though I wish everything was included in one tour. There is pretty good mead for sale in the well tower, I wish I had bought more."
Karlštejn Castle,24juozas,5,"Its about 20min walk from parking to castle,when you enter the main street you can  see beutiful view of the castle from down bellow,U can get 3 tours in the castle,each one with the guide,lots of inn's,snack corners and gift shops on the road to castle."
Karlštejn Castle,James VanderWier,5,Excellent bathrooms and cafe up at the castle. Also were street vendors in the courtyard serving food and beer. Not a bad wake in that environment at all! Great view of the city or rather town below. The tour of the castle itself was engaging and interesting. Just about the right length of time.
Franzensburg,Jarosław Budzisz,5,"Very nice castle to visit (even if it was build quite recently despite the look of it). Located on the beautiful island surrounded by even more impressive park. You can take a walk around, rest a bit in the provided double sunbeds. There is a restaurant in the castle and the toilet and you can get there by small ferry. All available for people in wheelchair."
Franzensburg,Thomas Jedi,5,This is a small yet beautiful and well maintained castle surrounded by water. There are several small shops and restaurants for catching some refreshments. It also is a nice area for relaxing and for scenic walks. Plan on some extra time here to enjoy every bit :)
Franzensburg,Sofia Boneva,5,The place feels like it’s out of a Disney movie. The museum is only available with a tour for 11 euros but the tour is interesting and the inside of the castle is surprisingly beautiful. It also has a shop and a free toilet.
Franzensburg,Jelena Pekovic,5,"Beautiful day trip from Vienna! Lot of place for walking and enjoying incredaible environment! Not to be missed, especially during spring and summer!"
Franzensburg,Miodrag Cehajic,5,"The castles in an idyllic park. You can stay a while and recharge your batteries. You can take a long walk through the woods and meadows or along the water, park benches invite you to linger. There is also a playground and electric boats to borrow, a café and a snack bar. The park offers many beautiful subjects for photos and you can walk for several hours and enjoy nature."
Castle Blatná,Roman Perov,5,"I had a wonderful time visiting Blatna Castle and its deer park. The castle is a hidden gem, with a beautiful exterior and interesting history. The guided tour inside the castle was informative and engaging, giving a great insight into the life of nobility in the past. The deer park is a peaceful and serene oasis, with well-maintained pathways and plenty of deer roaming freely. It was a joy to observe the deer up close, and feeding them was an unforgettable experience. The castle grounds are picturesque and offer many opportunities for stunning photos. Overall, I highly recommend a visit to Blatna Castle and deer park for its beauty, tranquility, and historical significance"
Castle Blatná,Irina Emelyanenko,5,Nice castle. But the main attraction is deer feeding so don’t forgot to take some carrots with you (local deers love them)
Castle Blatná,Miguel Cuenca Fafutis,5,"Fantastic place to walk and visit on weekends.  The park is huge and walking relaxes you and you see the deer pass by your side.  You can offer them special food (carrot) that you take there. Going around with the lamas is a great experience.  The events that are organized in the place are an opportunity to learn about local products and try international food, drinking some wine, drinking beer or just resting."
Castle Blatná,kat cz,5,"Beautiful zámek and park, great place to visit with friends and family in a very affordable ticket you can buy online for 30kč. they have restaurants inside. nothing to worry when you get lost in this town, you can find so many things to enjoy."
Castle Blatná,Oksana Veber,5,"When visiting Blatna Castle,  make time to see Breznice sculpture bridge, and Castle,"
Šaleško Muzejsko in zgodovinsko društvo Velenje,mevludin osmanagić,4,"It's a shame, because everything is randomly imposed"
Šaleško Muzejsko in zgodovinsko društvo Velenje,Zvone Hranjec,5,The museum and its surroundings are beautifully decorated
Chateau Žleby,Chris Micsak,5,Great surprise chateau in the Czech countryside. They have English language books that are very informative if they don’t have English language tours. I like to think id be an incredible eccentric wealthy castle owner much like one of the owners of Žleby. Do you fancy a selection of medieval armor? Me too. How about a 4 barreled shotgun? Ya thought so. Do you fancy Crystal and china collections from the 1800s YA THATS WHAT I’M SAYING. Btw theres a Doge Room.
Chateau Žleby,Irina Mironova,5,"The castle is very beautiful with well-preserved internal interayer. Small and very cozy. Many rooms are preserved as they were more than 160 years ago, as evidenced by the surviving paintings of the premises. Some rooms are upholstered in cowhide or deer skin, many preserved household items. The atmosphere is calming and relaxing, no no extra people and sounds. The tour lasts only an hour, but passes unnoticed. I don’t know for sure if there is a possibility of conducting an excursion in English, you need to clarify in advance."
Chateau Žleby,Vojtech V,5,"Lovely place ideal for a half-day visit. Historic talks and walks a few times a day. Refreshments, outdoor seating and bike racks make it a fine destination for on foot, by bike or by car visitors."
Chateau Žleby,Branko Pleadin,5,"Very big castle from 13th century, renewed during 20th century. The owners of the castle made a very large collection of medeival weapons and other stuff that can be seen during visit to castle rooms."
Chateau Žleby,psbuser1 Thunderbird,4,"A very enjoyable castle visit in Eastern Bohemia. Worth a detour. If the weather is nice the grounds of the castle park will make your visit even better. The castle has an interesting history, and a visit will enable you to encounter fine furniture and objets d'art as they were in the 19th century. We did consider the entrance fee kind of steep, but we don't regret the visit."
Festetics Palace,Jiří Vojtíšek,4,"A very beautiful castle surrounded by well maintained gardens. The tour is definitely worth it, since the inside is filled with interesting items and pieces of furniture  with the library as a highlight. Also the view from the viewtower is nice. The signs are in English as well."
Festetics Palace,Sionainne Costello,5,"Really decently priced to see everything here, if you wish to see everything I would give it a full day, but just the palace and one exhibit still took about 2 to 3 hours, pretty gardens to sit in which are free of charge as well. DSLR Photography or videography inside the palace requires, 1400 HUF extra, really recommend"
Festetics Palace,Gadi Segal,5,"An interesting palace with breath taking decorations, fairnachers, pictures and rich history. The palace radiates an impressive but quiet power. There is a very beautiful view from the main tower. After visiting  the palace you can enjoy yourself from the nice park around it."
Festetics Palace,T Mckay,5,"Fantastic place and very well kept. If you visit the castle and their other exhibits, it could be a whole day program. Restaurants right by the entrances to be avoided."
Festetics Palace,Iva Drvarič,5,We didn't go inside but even a stroll around the beautiful park (whic is free) is a really nice experience. The palace is beautiful and well mantained. Definitelly worth a visit.
Bratislava Castle,jeremy kalous,5,"Castle is well worth the visit - and it’s free. The view is great. But, the museum costs money ….. however, it’s half price for seniors and students and it’s absolutely brilliant. I rushed around and that took two hours. It’s massive. Archaeological and History. Great icon art. It’s well worth a visit"
Bratislava Castle,Jesse (JP),5,"It was a one in a life time experience for me and my family. The history was incredible, and the views were fantastic. If you ever decide to take a backpacking trip across Eastern Europe with a friend or family, you have got to stop and take your amazing pictures here! And go through the museum too."
Bratislava Castle,Jarrod Hunt,4,"Lovely castle grounds that you can look around for free. Didn't go into the museum as we didn't have the time. Good views from up there, though they could do with some information boards, there is literally zero information. It is a free site though, so can't complain too much"
Bratislava Castle,Austin Graff,5,"Skip the museum and go for the city views, a shaded playground, and public art on the grounds. My six-year-old daughter enjoyed the small playground as my wife and I sat on lawn chairs under a tree and read. It was so peaceful! We spent a good hour relaxing and playing on the playground before exploring more of the city."
Bratislava Castle,Sze Yee Ong,5,"Beautiful castle on top of hill. The views from there are amazing. There is also a playground there in the shade. There are chairs around for the adults. The grounds are free to visit, which is fantastic. The baroque gardens are well maintained and beautiful."
Křivoklát Castle,Surupa Chaki,5,"Beautiful countryside castle with big courtyard. Surrounded by beautiful greens, small hiking trail around. Pros frequent train connections Cons no English tours However it is a great day trip from Prague. There are events as well during summer, please check calanders. In those times courtyard is paid else it is free."
Křivoklát Castle,Vit Spisek (Vyyt),5,"A beautiful medieval castle perched on a hill surrounded by forest. Great views from the tower(s). Only a few foreign tourists, less crowded than other famous castles. We had a fun day trip from Prague by a retro train."
Křivoklát Castle,Joss Mowforth,4,"Really good tour and beautiful castle and surrounding countryside. Unfortunately there were no tours in English (all Czech), but they did provide a brochure in English with the details. Worth a visit."
Křivoklát Castle,Belén Ross Morrey Pérez,5,"It was really nice for a one day trip, they offered English tour guides that even though it was not perfect, it was worth it. The views are beautiful and there is a mystic all around."
Křivoklát Castle,Kimberly Pace,5,"An absolutely beautiful castle! A little bit of a hike on a cobblestone road to the entrance, but not bad.  There are a few Café's inside the castle."
Tykocin Castle,Milica J.,4,"Lovely but we didn't go inside because they had no information in English and they only have a guide who speaks Polish. In order to find out anything about the castle, you need to book a guide in advice. It's a shame, it is a beautiful castle."
Tykocin Castle,Wojciech Sawicki,5,"Dining and/or staying overnight at a partially reconstructed castle is an amazingly unique experience in itself. Now top it off with superb food and an amazing location by a picturesque river and a wondrous historical town, and you get something truly magical."
Tykocin Castle,Trixzy,4,"I often come back to this little Jewish town each year, but this year I decided to invest a little more time and enjoy the castle, I wouldn't recommend paying for the tour, as you don't get much out of it, but the castle itself is in a pretty location and the restaurant inside has some lovely Polish traditional dishes."
Tykocin Castle,Aston Mastonsecond,2,"Bad experience. The tours are only in Polish, we drove two hours just to hear that... You also cannot take a look inside without guide, absurd.. Didn't try the food. Plenty of parking."
Tykocin Castle,Lukasz Macht,4,The castle is entirely rebuilt to its XVIth century glory from ruins. Normally this would make it a fake sight but the 45min tour discussing the history and political background more than makes up for it. It's also a nice subtle reminder that this used to be the center of Polish/Lithuanian kingdom of old.
Castle of Sárospatak,Panna Mama,3,"The place is amazing, however the lady at the reception, selling the ticket was unkind and rude. Every time someone asked her something she was extremely annoyed. There was an entrance fee and still the toilet cost extra money. So many tourists and visitors, I would work on making the place more professional with English guidance."
Castle of Sárospatak,Ákos Molnár,5,"You can enter the castle itself, which is nice, but if you want to visit more of it, you have to buy the ticket. There are several options, with some of them being for example two for one, or three for one... The guide is usually in Hungarian, but I guess if you want it in other languages, you can ask beforehand. You can also walk in the huge park and there is a large playground for the kids. There are many restaurants and parking space around the castle, and the area around the castle is also beautiful and calm."
Castle of Sárospatak,Waiyee Lai,3,Nice walk and view outside.  We visited on a Monday and it didn't open. Not even the WC.
Castle of Sárospatak,Bettina Csikvari,5,"Nice place. It's a pitty that the tower needs another ticket, not full included. Thanks for the teachers' discount ticket."
Castle of Sárospatak,Lundahem,4,"A nice castle at the top oin the middle of Sarospatak. A great view of Bodrog and the city from the top. The entrence is a bit too expensive, but you can see a lot for free as well."
Červený Kameň Castle,Anton Göransson,5,"This is a castle with a lot of history. You can walk the grounds for free but I recommend you get a tour (they have in english as well and the guide spoke great english) which is the only way to get in to the castle. You have to pay 2 euro to take photographs. The english tour is not very often so check that before going, we happened to get very lucky with our timing. Also we went here using the public transport system from Bratislava which was quite a hassle and not something I recommend during the hot summer. I think renting a car is the easiest way to get here. The tour was very interesting and is something I highly recommend to learn more about Slovak history and how life was at the castle. There was also beautiful paintings and portraits, there was a collection of Piranesi paintings that were exquisite"
Červený Kameň Castle,Allan Behrens,4,"Interesting castle and location. A small selection of furniture and artwork exhibits too, although some English translation on the guided tour would have been useful. Missed the tour of the cellars as the (disinterested) tour guide didn't (or wouldnt?) accommodate the more leisurely walkers. Shame that."
Červený Kameň Castle,Murat Dambali,5,One of the best castles I’ve seen. I recommend to take the big tour and see all the more than 20 beautiful decorated rooms and the different Interieur from all over the world. Don’t forget to visit the cellar with its huge halls and the very deep well. If you visit it on the first Sunday in the month entry is for free. Huge parking for free.
Červený Kameň Castle,Andrius M,4,"Interesting museum, very well maintained. We bought a tour in English but were put in Slovakian speaking group. So had to read papers and didn’t understand anything the guide was saying. And the museum sells family tickets, but the group that we had to go with was full of “Karens” shushing other kids. Let kids be freaking kids."
Červený Kameň Castle,Toni Todorovski,5,Beautiful forest with red rocks caves. Cute palace too nearby.
Valdštejn Castle,Victoria Antaresna,4,"It's a very nice place to visit. The disappointing thing though (that is not specified and worth at least being mentioned) -  the tickets are for guided (in Czech) and non-guided visits. The price for a visit without a guide (Vstupné bez průvodce ) - 90,- Kč for an adult. We did not speak Czech, so did not have reasons to join the guided groups (though difference was really minor, less than 1Eur  - Vstupné s průvodcem plné 110,- Kč) 5 minutes later we found 2 sets of exhibitions (2 floors out of 4 available) were allowed for visiting by JUST guided groups. The guide we met explained ""it's true and may be ""unfair"", but they still have a room for improvements"". So, if you have plans to visit all available exhibitions of the castle, buy the ticket with a guidance in czech language. Also, enjoy the views)"
Valdštejn Castle,Randy Law,5,"The gate was closed when I went there, so I could only see the castle from the bridge. (Opened weekends only until the start of May). Trails here are easy to follow."
Valdštejn Castle,Peter Knight,5,"The new exhibition of the costumes for famous Czech fairytales is great. The young girl that was hosting the tour was fantastic, happy informative and entertaining for the small kids we were with. Definitely worth a visit"
Valdštejn Castle,Peter,4,Nice Castel with very interestin story abou it 🙂
Valdštejn Castle,Jan Petr,5,"Nice castle, excellent guide, real treat. Highly recommended 👍🏻"
SDH Nelahozeves,Aleš Pitucha,5,Good bunch of people.
Houska castle,Zuzana Loudal,5,Very interesting place. Nice visit.
Houska castle,Giel Mosselmans,3,"""The gateway to Hell"" The tour was not in English, because the guide couldn't speak very good English. You can ask the guide for a map with information about tour, but it felt like we where missing out on the details. It was not bad, but a little bit disappointing. They could have done more with the place."
Houska castle,Nigel Kelly,5,I have been waiting 5 years to see this place and it didn't disappoint. It's easy to see why so many legends and mysteries surround the place. Would have been cool to spend the night.
Houska castle,Lukas,1,Ok
Houska castle,Dmitry Lovermann,5,"Old castle, actually without a great history, BUT they made guide based on the fairy tale, that there’s gate to hell in the middle of the inner courtyard. Very impressive and atmosphere, can only recommend to  singles, pairs and families."
Predjama Castle,Jake Garbelotti,5,Great experience exploring on our own. The cave rooms at the top were a nice temperature. Short walk from the parking lot too (just a small incline)
Predjama Castle,Marek Šolc,5,"A beautiful interesting castle, a nice place to relax, also suitable for families with children, mobile devices are also available for interpretation in different languages ​​when scanning a QR code. Beautiful views of the surroundings, there is also a souvenir shop."
Predjama Castle,David Mellor,5,Fascinating castle built into a cave. Take your time and enjoy the commentary on the clever self guiding tour. There are quite a few steps but the view from the top inside the cave/Castle is terrific.
Predjama Castle,Ron Huber,5,Very unique castle built into a cave. Audio tour gives interesting details as you walk through the castle. Easy to do the tour at your own pace
Predjama Castle,Jeroen Verhaart,5,Amazing castle build in the rocks. Just imagine the work it should have been in the 13th century. The guided audio tour is awesome and gives you a lot of information. Book this together with the cave and your day is complete.
Orlík Castle,Zuzana Parrette,5,"Been here numerous times. It's close to where I stay with family.  The castle only has one tour. It's been the same tour for 20+ years. I love going back none the less. Beautiful views over the Vltava river. Gardens and you can even get on a boat tour here. You can Go from Orlík to Zvíkov on the boat. They do one way or round trips.  A couple of cafes here at Orlík as well. And the village has great restaurants and cafe bars as well. I highly recommend this area. It is one of my favorites. Also, this is one of the Castles you can not take pics inside."
Orlík Castle,Dimitrios Grantas,5,Great castle!! And only like one hour from Prague. But I would say it's better to go somewhere from the opposite side so you can have the view of the castle or rent a boat. 🙂
Orlík Castle,Holly,4,"Quiet town, and very beautiful riverside views! Just an hour’s drive from Prague, it is ideal place for hiking and visiting with family or friends on weekends."
Orlík Castle,Incongruent Malopropic Parrot,5,"I really liked the castle and surrounding area. The tour inside the castle is guided only, which I'm not a fan of but I was told our guide was very good and made some nice jokes too. (I don't speak Czech, but of course information sheets are given out in other languages that explain the rooms, you just miss out on the jokes).  No photos allowed inside the castle, but there are beautifully styled rooms, large collection of shotguns and deer antlers. Even one that was shot by Franz Ferdinand!"
Orlík Castle,M T,5,Super gorgeous and a relaxing place. 100% recommended to go as there is really not much beautiful in Czech Republic.
Andrássy Palace (Wahrmann Castle),AEndrU,4,"I have trouble with this place because I have no idea what to evaluate. Basically it is just a big park with an empty palace and a water tower in the middle of it. No museum or anything, during the communism everything was stolen, but even in it current state, the place still has it's charm, though it saw better days. When I was there, there was a Catholic child camp inside, and as the only visitor I felt as an alien among regulars. But the entrance fee is only symbolic, and the scenery is really nice. If you want to rest in a quiet park with such scenery, this may be a good choice for you."
Andrássy Palace (Wahrmann Castle),Balint Regius,5,Beautiful castle. Absolutely worth to visit.
Andrássy Palace (Wahrmann Castle),DoomZealot,5,Beautiful piece of history. It's a wonderful location to have a wedding and the nature trails behind the castle are so fun to walk. The castle kitchen was a lot of fun to volunteer in during my time on campus. Overall amazing place to visit.
Andrássy Palace (Wahrmann Castle),Angela Ulrich,5,The castle is a real hidden gem on the edge of this small village. The size of it's grounds are truly wonderous with huge foresty areas several lakes and medows. The castle itself is a beautiful representatation of the 19th century's magnificence. Definitely worth visiting even just for a relaxing afternoon stroll in the park or for a weekend getaway spending a couple of nights in the renovated accomodation quarters in the castle.
Andrássy Palace (Wahrmann Castle),Jake Asmah,5,It's an awesome castle well maintained with a great school operating there. The lake is beautiful and peaceful.
Zámek v Nových Hradech jižní Čechy,Stanislav Kosos,4,"It's a shame that you can't see the interiors, only the garden"
Zámek v Nových Hradech jižní Čechy,Ladislav Karel,5,👌👌
Zámek v Nových Hradech jižní Čechy,Petr Manda,4,Nice and quiet place.
Gruyères Castle,Rick,5,"Nice ""castle"". Lots of history behind it. Interior decorations are recently done with items from the time period. If one looks at the post cards on display in one of the rooms, the decor was quite different even 100 years ago. Nice how there are privately owned residences in the town outside the ""castle"". Enjoyed the tour, although quite pricey."
Gruyères Castle,Paul,4,"Visited the medieval village of Gruyères in early August 2023.... again... I haven't been back since visiting in January 2015 with my Filipino friends. Obviously the big difference was the sun and the temperature, from -10 to ÷25, made a huge difference ;-)  Nice little village, very touristy, visited the twisted Geiger museum, Geiger definitely had a screw loose. Talented but not fully sane. Didn't visit the actual Castle, I'd already spent enough.  Had a decent spaghetti bolognaise in one of the restaurants, not too expensive for Switzerland."
Gruyères Castle,Najeeb Abdullah,5,We came to explore Gruyere Village and we decided to first visit the castle. along the way and at the top floor there were amazing views of the local area. The inside of the castle was also very interesting and it was cool to see the different rooms decorated so elegantly. It was overall a good introduction to the history of the region. Definitely a highlight of our trip to experience this.
Gruyères Castle,Chris Le Tissier,5,"Been before about 15 years ago. Flower garden nice. Ramparts good, just watch your head.  Inside nicely arranged. Plenty to see. English placards. If arriving by train take the bus. Walking to the Ville is a killer walk anytime   worse in heat."
Gruyères Castle,Matthew Kunzler,5,"Great experience. When most think of Gruyères, cheese is the first thing that comes to mind, but the chateau here is historic, detailed, and fair priced. It's a smaller chateau, but loaded with history. The views are stunning and the tour itself takes about an hour. It's self guided, but each room has a detailed description of what the room was used for. Highly recommend!"
Schloss Ort,Andrei Marginean,5,"A beautiful location which brings a breath of life to those admiring it. The roads are clean, very well maintained, organized and loved by the community. There are local stores and tourist attractions nearby and lodgements. Local internet stores are nearby for tourists who need a card loaded with Gbs."
Schloss Ort,Backpacker_ Hiker,4,"Nice spot to watch the views from! I came on a stormy day which was very cool! Didn't go inside the castle as already heard that there wasn't much to see. But again, a nice place to see the views from."
Schloss Ort,Shikha Singh,5,very beautiful. The weather was perfect for us. It was sunny and looks amazing with the view of snow mountain at the side of the castle. As per local guide it is the most romantic place to marry for local people of vienna. It is worth to visit such a serene place.
Schloss Ort,Amber Webb,4,We made a 40 minute stop here on our way to Hallstatt. Beautiful views of the lake and Alps. If you're out this way it's definitely worth a stop!
Schloss Ort,Luke L'sk,5,This is one of the scenic locations on the tour package that we stopped by for about half an hour. Beautiful castle by the lake with a nice wooden bridge that leads to it. The tour guide mentioned that many Austrian Brides would love to take their wedding photos at this location due to the fairy-tale Scenic setup.  There seems to be a restaurant at the location so you may order a drink or food and sit by the lake to enjoy the scenery.  If the weather allows you may see the mountain in the shape of a person's face facing upward. I was advised that the majority of the time that face is blocked by the cloud so you may need to be very lucky to see the whole face.
SLOVENSKÉ BANSKÉ MÚZEUM,Jorge Clementez,4,enjoying it!
SLOVENSKÉ BANSKÉ MÚZEUM,Angelika Hanusz,5,"A very nice place, I would like to come back here again. Beautiful little town with nice people."
SLOVENSKÉ BANSKÉ MÚZEUM,Peter Novák,5,A guided tour of the mining museum is possible.
Bory Castle,Ruby Rejoso,5,"It is one the most beautiful places I've ever visited here at Székesfehérvár. Although it has a 2500 entrance for those who haven't had a discount it was worth it by the way. The place has so many paintings that will bring you back to the wonderful decade before.  The scenery above the castle 🏰 was amazing and mesmerized me because the overlooking and houses, plantation and trees around there. I'm happy to be there and planning to come back soon🥰"
Bory Castle,NYPTBLUE ONE,5,Magical! The grounds and building are both interesting and beautiful. Great location for taking photos or a photo shoot. Hard to believe it’s only 100 years old since the experience transports you to much older times.  Highly recommend visiting. You can easily meander about and lose track of time.  The benches in the courtyard and throughout the grounds are a nice feature.
Bory Castle,Luqman Hasan,5,"A very nice attraction out of Budapest. The castle is worth to visit. A short train ride around 45-50 minutes from Budapest. The city itself is very nice. Once you reach the train station, buy the bus ticket from the machine for discounted price or you can also buy from the driver using cash for 400 forints per ticket. Take any bus that’s going to the castle such as bus number 32 and the bus stop is just outside the train station. The castle is pretty nice, beautifully designed and some interesting stuff to see inside the castle. Recommended if you want to see something outside of Budapest."
