"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"2008"	"2008"	444	2874554	15.4
	"Arkansas"	"05"	"2009"	"2009"	465	2896843	16.1
	"Arkansas"	"05"	"2010"	"2010"	419	2915918	14.4
	"Arkansas"	"05"	"2011"	"2011"	462	2939493	15.7
	"Arkansas"	"05"	"2012"	"2012"	490	2950685	16.6
	"Arkansas"	"05"	"2013"	"2013"	501	2958663	16.9
	"Arkansas"	"05"	"2014"	"2014"	496	2966912	16.7
	"Arkansas"	"05"	"2015"	"2015"	520	2977853	17.5
	"Arkansas"	"05"	"2016"	"2016"	541	2988248	18.1
"Total"	"Arkansas"	"05"			8105	51117937	15.9
	"California"	"06"	"1999"	"1999"	3054	33499204	9.1
	"California"	"06"	"2000"	"2000"	3108	33871648	9.2
	"California"	"06"	"2001"	"2001"	3200	34479458	9.3
	"California"	"06"	"2002"	"2002"	3410	34871843	9.8
	"California"	"06"	"2003"	"2003"	3468	35253159	9.8
	"California"	"06"	"2004"	"2004"	3316	35574576	9.3
	"California"	"06"	"2005"	"2005"	3453	35827943	9.6
	"California"	"06"	"2006"	"2006"	3363	36021202	9.3
	"California"	"06"	"2007"	"2007"	3268	36250311	9.0
	"California"	"06"	"2008"	"2008"	3171	36604337	8.7
	"California"	"06"	"2009"	"2009"	3094	36961229	8.4
	"California"	"06"	"2010"	"2010"	2935	37253956	7.9
	"California"	"06"	"2011"	"2011"	3004	37676861	8.0
	"California"	"06"	"2012"	"2012"	3068	38011074	8.1
	"California"	"06"	"2013"	"2013"	3026	38335203	7.9
	"California"	"06"	"2014"	"2014"	2942	38680810	7.6
	"California"	"06"	"2015"	"2015"	3095	38993940	7.9
	"California"	"06"	"2016"	"2016"	3184	39250017	8.1
"Total"	"California"	"06"			57159	657416771	8.7
	"Colorado"	"08"	"1999"	"1999"	452	4226018	10.7
	"Colorado"	"08"	"2000"	"2000"	443	4301261	10.3
	"Colorado"	"08"	"2001"	"2001"	510	4425687	11.5
	"Colorado"	"08"	"2002"	"2002"	517	4490406	11.5
	"Colorado"	"08"	"2003"	"2003"	501	4528732	11.1
	"Colorado"	"08"	"2004"	"2004"	553	4575013	12.1
	"Colorado"	"08"	"2005"	"2005"	535	4631888	11.6
	"Colorado"	"08"	"2006"	"2006"	497	4720423	10.5
	"Colorado"	"08"	"2007"	"2007"	505	4803868	10.5
	"Colorado"	"08"	"2008"	"2008"	513	4889730	10.5
	"Colorado"	"08"	"2009"	"2009"	583	4972195	11.7
	"Colorado"	"08"	"2010"	"2010"	555	5029196	11.0
	"Colorado"	"08"	"2011"	"2011"	573	5118360	11.2
	"Colorado"	"08"	"2012"	"2012"	672	5189867	12.9
	"Colorado"	"08"	"2013"	"2013"	619	5267603	11.8
	"Colorado"	"08"	"2014"	"2014"	663	5349648	12.4
	"Colorado"	"08"	"2015"	"2015"	701	5448819	12.9
	"Colorado"	"08"	"2016"	"2016"	812	5540545	14.7
"Total"	"Colorado"	"08"			10204	87509259	11.7
	"Connecticut"	"09"	"1999"	"1999"	199	3386401	5.9
	"Connecticut"	"09"	"2000"	"2000"	179	3405565	5.3
	"Connecticut"	"09"	"2001"	"2001"	191	3432835	5.6
	"Connecticut"	"09"	"2002"	"2002"	147	3458749	4.3
	"Connecticut"	"09"	"2003"	"2003"	153	3484336	4.4
	"Connecticut"	"09"	"2004"	"2004"	173	3496094	4.9
	"Connecticut"	"09"	"2005"	"2005"	187	3506956	5.3
	"Connecticut"	"09"	"2006"	"2006"	173	3517460	4.9
	"Connecticut"	"09"	"2007"	"2007"	149	3527270	4.2
	"Connecticut"	"09"	"2008"	"2008"	200	3545579	5.6
	"Connecticut"	"09"	"2009"	"2009"	173	3561807	4.9
	"Connecticut"	"09"	"2010"	"2010"	209	3574097	5.8
	"Connecticut"	"09"	"2011"	"2011"	210	3589893	5.8
	"Connecticut"	"09"	"2012"	"2012"	227	3593795	6.3
	"Connecticut"	"09"	"2013"	"2013"	161	3596003	4.5
	"Connecticut"	"09"	"2014"	"2014"	187	3591873	5.2
	"Connecticut"	"09"	"2015"	"2015"	189	3584730	5.3
	"Connecticut"	"09"	"2016"	"2016"	172	3576452	4.8
"Total"	"Connecticut"	"09"			3279	63429895	5.2
	"Delaware"	"10"	"1999"	"1999"	68	774990	8.8
	"Delaware"	"10"	"2000"	"2000"	52	783600	6.6
	"Delaware"	"10"	"2001"	"2001"	76	795699	9.6
	"Delaware"	"10"	"2002"	"2002"	74	806169	9.2
	"Delaware"	"10"	"2003"	"2003"	65	818003	7.9
	"Delaware"	"10"	"2004"	"2004"	75	830803	9.0
	"Delaware"	"10"	"2005"	"2005"	75	845150	8.9
	"Delaware"	"10"	"2006"	"2006"	79	859268	9.2
	"Delaware"	"10"	"2007"	"2007"	79	871749	9.1
	"Delaware"	"10"	"2008"	"2008"	95	883874	10.7
	"Delaware"	"10"	"2009"	"2009"	76	891730	8.5
	"Delaware"	"10"	"2010"	"2010"	88	897934	9.8
	"Delaware"	"10"	"2011"	"2011"	77	907924	8.5
	"Delaware"	"10"	"2012"	"2012"	96	916993	10.5
	"Delaware"	"10"	"2013"	"2013"	100	925395	10.8
	"Delaware"	"10"	"2014"	"2014"	102	934948	10.9
	"Delaware"	"10"	"2015"	"2015"	112	944076	11.9
	"Delaware"	"10"	"2016"	"2016"	111	952065	11.7
"Total"	"Delaware"	"10"			1500	15640370	9.6
	"District of Columbia"	"11"	"1999"	"1999"	163	570213	28.6
	"District of Columbia"	"11"	"2000"	"2000"	149	572059	26.0
	"District of Columbia"	"11"	"2001"	"2001"	169	574504	29.4
	"District of Columbia"	"11"	"2002"	"2002"	195	573158	34.0
	"District of Columbia"	"11"	"2003"	"2003"	167	568502	29.4
	"District of Columbia"	"11"	"2004"	"2004"	143	567754	25.2
	"District of Columbia"	"11"	"2005"	"2005"	154	567136	27.2
	"District of Columbia"	"11"	"2006"	"2006"	134	570681	23.5
	"District of Columbia"	"11"	"2007"	"2007"	144	574404	25.1
	"District of Columbia"	"11"	"2008"	"2008"	137	580236	23.6
	"District of Columbia"	"11"	"2009"	"2009"	111	592228	18.7
	"District of Columbia"	"11"	"2010"	"2010"	99	601723	16.5
	"District of Columbia"	"11"	"2011"	"2011"	86	620477	13.9
	"District of Columbia"	"11"	"2012"	"2012"	68	635327	10.7
	"District of Columbia"	"11"	"2013"	"2013"	71	649165	10.9
	"District of Columbia"	"11"	"2014"	"2014"	86	659005	13.0
	"District of Columbia"	"11"	"2015"	"2015"	120	670377	17.9
	"District of Columbia"	"11"	"2016"	"2016"	107	681170	15.7
"Total"	"District of Columbia"	"11"			2303	10828119	21.3
	"Florida"	"12"	"1999"	"1999"	1721	15759421	10.9
	"Florida"	"12"	"2000"	"2000"	1692	15982378	10.6
	"Florida"	"12"	"2001"	"2001"	1816	16356966	11.1
	"Florida"	"12"	"2002"	"2002"	1886	16689370	11.3
	"Florida"	"12"	"2003"	"2003"	1940	17004085	11.4
	"Florida"	"12"	"2004"	"2004"	1890	17415318	10.9
	"Florida"	"12"	"2005"	"2005"	1838	17842038	10.3
	"Florida"	"12"	"2006"	"2006"	2083	18166990	11.5
	"Florida"	"12"	"2007"	"2007"	2272	18367842	12.4
	"Florida"	"12"	"2008"	"2008"	2334	18527305	12.6
	"Florida"	"12"	"2009"	"2009"	2324	18652644	12.5
	"Florida"	"12"	"2010"	"2010"	2268	18801310	12.1
	"Florida"	"12"	"2011"	"2011"	2378	19096952	12.5
	"Florida"	"12"	"2012"	"2012"	2473	19344156	12.8
	"Florida"	"12"	"2013"	"2013"	2442	19582022	12.5
	"Florida"	"12"	"2014"	"2014"	2410	19888741	12.1
	"Florida"	"12"	"2015"	"2015"	2559	20244914	12.6
	"Florida"	"12"	"2016"	"2016"	2704	20612439	13.1
"Total"	"Florida"	"12"			39030	328334891	11.9
	"Georgia"	"13"	"1999"	"1999"	1105	8045965	13.7
	"Georgia"	"13"	"2000"	"2000"	1096	8186453	13.4
	"Georgia"	"13"	"2001"	"2001"	1124	8377038	13.4
	"Georgia"	"13"	"2002"	"2002"	1133	8508256	13.3
	"Georgia"	"13"	"2003"	"2003"	1173	8622793	13.6
	"Georgia"	"13"	"2004"	"2004"	1062	8769252	12.1
	"Georgia"	"13"	"2005"	"2005"	1064	8925922	11.9
	"Georgia"	"13"	"2006"	"2006"	1144	9155813	12.5
	"Georgia"	"13"	"2007"	"2007"	1244	9349988	13.3
	"Georgia"	"13"	"2008"	"2008"	1177	9504843	12.4
	"Georgia"	"13"	"2009"	"2009"	1247	9620846	13.0
	"Georgia"	"13"	"2010"	"2010"	1223	9687653	12.6
	"Georgia"	"13"	"2011"	"2011"	1232	9811610	12.6
	"Georgia"	"13"	"2012"	"2012"	1286	9914668	13.0
	"Georgia"	"13"	"2013"	"2013"	1262	9984938	12.6
	"Georgia"	"13"	"2014"	"2014"	1391	10087231	13.8
	"Georgia"	"13"	"2015"	"2015"	1448	10199398	14.2
	"Georgia"	"13"	"2016"	"2016"	1571	10310371	15.2
"Total"	"Georgia"	"13"			21982	167063038	13.2
	"Hawaii"	"15"	"1999"	"1999"	42	1210300	3.5
	"Hawaii"	"15"	"2000"	"2000"	52	1211537	4.3
	"Hawaii"	"15"	"2001"	"2001"	47	1225948	3.8
	"Hawaii"	"15"	"2002"	"2002"	36	1239613	2.9
	"Hawaii"	"15"	"2003"	"2003"	37	1251154	3.0
	"Hawaii"	"15"	"2004"	"2004"	41	1273569	3.2
	"Hawaii"	"15"	"2005"	"2005"	28	1292729	2.2
	"Hawaii"	"15"	"2006"	"2006"	33	1309731	2.5
	"Hawaii"	"15"	"2007"	"2007"	36	1315675	2.7
	"Hawaii"	"15"	"2008"	"2008"	41	1332213	3.1
	"Hawaii"	"15"	"2009"	"2009"	47	1346717	3.5
	"Hawaii"	"15"	"2010"	"2010"	45	1360301	3.3
	"Hawaii"	"15"	"2011"	"2011"	49	1377864	3.6
	"Hawaii"	"15"	"2012"	"2012"	51	1391820	3.7
	"Hawaii"	"15"	"2013"	"2013"	38	1406481	2.7
	"Hawaii"	"15"	"2014"	"2014"	40	1416349	2.8
	"Hawaii"	"15"	"2015"	"2015"	55	1425157	3.9
	"Hawaii"	"15"	"2016"	"2016"	66	1428557	4.6
"Total"	"Hawaii"	"15"			784	23815715	3.3
	"Idaho"	"16"	"1999"	"1999"	151	1275674	11.8
	"Idaho"	"16"	"2000"	"2000"	127	1293953	9.8
	"Idaho"	"16"	"2001"	"2001"	175	1319962	13.3
	"Idaho"	"16"	"2002"	"2002"	163	1340372	12.2
	"Idaho"	"16"	"2003"	"2003"	164	1363380	12.0
	"Idaho"	"16"	"2004"	"2004"	177	1391802	12.7
	"Idaho"	"16"	"2005"	"2005"	195	1428241	13.7
	"Idaho"	"16"	"2006"	"2006"	180	1468669	12.3
	"Idaho"	"16"	"2007"	"2007"	187	1505105	12.4
	"Idaho"	"16"	"2008"	"2008"	175	1534320	11.4
	"Idaho"	"16"	"2009"	"2009"	196	1554439	12.6
	"Idaho"	"16"	"2010"	"2010"	198	1567582	12.6
	"Idaho"	"16"	"2011"	"2011"	192	1584143	12.1
	"Idaho"	"16"	"2012"	"2012"	207	1595911	13.0
	"Idaho"	"16"	"2013"	"2013"	227	1612011	14.1
	"Idaho"	"16"	"2014"	"2014"	213	1633532	13.0
	"Idaho"	"16"	"2015"	"2015"	247	1652828	14.9
	"Idaho"	"16"	"2016"	"2016"	242	1683140	14.4
"Total"	"Idaho"	"16"			3416	26805064	12.7
	"Illinois"	"17"	"1999"	"1999"	1209	12359020	9.8
	"Illinois"	"17"	"2000"	"2000"	1130	12419293	9.1
	"Illinois"	"17"	"2001"	"2001"	1289	12488445	10.3
	"Illinois"	"17"	"2002"	"2002"	1231	12525556	9.8
	"Illinois"	"17"	"2003"	"2003"	1146	12556006	9.1
	"Illinois"	"17"	"2004"	"2004"	994	12589773	7.9
	"Illinois"	"17"	"2005"	"2005"	1019	12609903	8.1
	"Illinois"	"17"	"2006"	"2006"	1036	12643955	8.2
	"Illinois"	"17"	"2007"	"2007"	1032	12695866	8.1
	"Illinois"	"17"	"2008"	"2008"	1105	12747038	8.7
	"Illinois"	"17"	"2009"	"2009"	1058	12796778	8.3
	"Illinois"	"17"	"2010"	"2010"	1064	12830632	8.3
	"Illinois"	"17"	"2011"	"2011"	1114	12860012	8.7
	"Illinois"	"17"	"2012"	"2012"	1178	12870798	9.2
	"Illinois"	"17"	"2013"	"2013"	1117	12879505	8.7
	"Illinois"	"17"	"2014"	"2014"	1179	12867544	9.2
	"Illinois"	"17"	"2015"	"2015"	1220	12839047	9.5
	"Illinois"	"17"	"2016"	"2016"	1490	12801539	11.6
"Total"	"Illinois"	"17"			20611	228380710	9.0
	"Indiana"	"18"	"1999"	"1999"	680	6044969	11.2
	"Indiana"	"18"	"2000"	"2000"	666	6080485	11.0
	"Indiana"	"18"	"2001"	"2001"	729	6127760	11.9
	"Indiana"	"18"	"2002"	"2002"	723	6155967	11.7
	"Indiana"	"18"	"2003"	"2003"	696	6196638	11.2
	"Indiana"	"18"	"2004"	"2004"	639	6233007	10.3
	"Indiana"	"18"	"2005"	"2005"	705	6278616	11.2
	"Indiana"	"18"	"2006"	"2006"	742	6332669	11.7
	"Indiana"	"18"	"2007"	"2007"	670	6379599	10.5
	"Indiana"	"18"	"2008"	"2008"	723	6424806	11.3
	"Indiana"	"18"	"2009"	"2009"	735	6459325	11.4
	"Indiana"	"18"	"2010"	"2010"	709	6483802	10.9
	"Indiana"	"18"	"2011"	"2011"	638	6516480	9.8
	"Indiana"	"18"	"2012"	"2012"	800	6537743	12.2
	"Indiana"	"18"	"2013"	"2013"	857	6569102	13.0
	"Indiana"	"18"	"2014"	"2014"	818	6595233	12.4
	"Indiana"	"18"	"2015"	"2015"	846	6612768	12.8
	"Indiana"	"18"	"2016"	"2016"	997	6633053	15.0
"Total"	"Indiana"	"18"			13373	114662022	11.7
	"Iowa"	"19"	"1999"	"1999"	202	2917634	6.9
	"Iowa"	"19"	"2000"	"2000"	190	2926324	6.5
	"Iowa"	"19"	"2001"	"2001"	191	2931997	6.5
	"Iowa"	"19"	"2002"	"2002"	201	2934234	6.9
	"Iowa"	"19"	"2003"	"2003"	208	2941999	7.1
	"Iowa"	"19"	"2004"	"2004"	195	2953635	6.6
	"Iowa"	"19"	"2005"	"2005"	201	2964454	6.8
	"Iowa"	"19"	"2006"	"2006"	193	2982644	6.5
	"Iowa"	"19"	"2007"	"2007"	157	2999212	5.2
	"Iowa"	"19"	"2008"	"2008"	224	3016734	7.4
	"Iowa"	"19"	"2009"	"2009"	193	3032870	6.4
	"Iowa"	"19"	"2010"	"2010"	213	3046355	7.0
	"Iowa"	"19"	"2011"	"2011"	220	3065223	7.2
	"Iowa"	"19"	"2012"	"2012"	217	3076310	7.1
	"Iowa"	"19"	"2013"	"2013"	253	3091930	8.2
	"Iowa"	"19"	"2014"	"2014"	241	3108030	7.8
	"Iowa"	"19"	"2015"	"2015"	247	3121997	7.9
	"Iowa"	"19"	"2016"	"2016"	288	3134693	9.2
"Total"	"Iowa"	"19"			3834	54246275	7.1
	"Kansas"	"20"	"1999"	"1999"	269	2678338	10.0
	"Kansas"	"20"	"2000"	"2000"	299	2688418	11.1
	"Kansas"	"20"	"2001"	"2001"	267	2702162	9.9
	"Kansas"	"20"	"2002"	"2002"	268	2713535	9.9
	"Kansas"	"20"	"2003"	"2003"	304	2723004	11.2
	"Kansas"	"20"	"2004"	"2004"	294	2734373	10.8
	"Kansas"	"20"	"2005"	"2005"	257	2745299	9.4
	"Kansas"	"20"	"2006"	"2006"	299	2762931	10.8
	"Kansas"	"20"	"2007"	"2007"	292	2783785	10.5
	"Kansas"	"20"	"2008"	"2008"	277	2808076	9.9
	"Kansas"	"20"	"2009"	"2009"	303	2832704	10.7
	"Kansas"	"20"	"2010"	"2010"	300	2853118	10.5
	"Kansas"	"20"	"2011"	"2011"	329	2869503	11.5
	"Kansas"	"20"	"2012"	"2012"	377	2885262	13.1
	"Kansas"	"20"	"2013"	"2013"	331	2892821	11.4
	"Kansas"	"20"	"2014"	"2014"	329	2899360	11.3
	"Kansas"	"20"	"2015"	"2015"	330	2906721	11.4
	"Kansas"	"20"	"2016"	"2016"	383	2907289	13.2
"Total"	"Kansas"	"20"			5508	50386699	10.9
	"Kentucky"	"21"	"1999"	"1999"	525	4018053	13.1
	"Kentucky"	"21"	"2000"	"2000"	542	4041769	13.4
	"Kentucky"	"21"	"2001"	"2001"	524	4068132	12.9
	"Kentucky"	"21"	"2002"	"2002"	544	4089875	13.3
	"Kentucky"	"21"	"2003"	"2003"	560	4117170	13.6
	"Kentucky"	"21"	"2004"	"2004"	551	4146101	13.3
	"Kentucky"	"21"	"2005"	"2005"	548	4182742	13.1
	"Kentucky"	"21"	"2006"	"2006"	531	4219239	12.6
	"Kentucky"	"21"	"2007"	"2007"	612	4256672	14.4
	"Kentucky"	"21"	"2008"	"2008"	576	4289878	13.4
	"Kentucky"	"21"	"2009"	"2009"	560	4317074	13.0
	"Kentucky"	"21"	"2010"	"2010"	555	4339367	12.8
	"Kentucky"	"21"	"2011"	"2011"	617	4369354	14.1
	"Kentucky"	"21"	"2012"	"2012"	655	4384799	14.9
	"Kentucky"	"21"	"2013"	"2013"	622	4400477	14.1
	"Kentucky"	"21"	"2014"	"2014"	634	4413057	14.4
	"Kentucky"	"21"	"2015"	"2015"	694	4424611	15.7
	"Kentucky"	"21"	"2016"	"2016"	772	4436974	17.4
"Total"	"Kentucky"	"21"			10622	76515344	13.9
	"Louisiana"	"22"	"1999"	"1999"	779	4460811	17.5
	"Louisiana"	"22"	"2000"	"2000"	790	4468976	17.7
	"Louisiana"	"22"	"2001"	"2001"	781	4477875	17.4
	"Louisiana"	"22"	"2002"	"2002"	876	4497267	19.5
	"Louisiana"	"22"	"2003"	"2003"	847	4521042	18.7
	"Louisiana"	"22"	"2004"	"2004"	902	4552238	19.8
	"Louisiana"	"22"	"2005"	"2005"	858	4576628	18.7
	"Louisiana"	"22"	"2006"	"2006"	831	4302665	19.3
	"Louisiana"	"22"	"2007"	"2007"	869	4375581	19.9
	"Louisiana"	"22"	"2008"	"2008"	822	4435586	18.5
	"Louisiana"	"22"	"2009"	"2009"	810	4491648	18.0
	"Louisiana"	"22"	"2010"	"2010"	864	4533372	19.1
	"Louisiana"	"22"	"2011"	"2011"	865	4575404	18.9
	"Louisiana"	"22"	"2012"	"2012"	845	4603429	18.4
	"Louisiana"	"22"	"2013"	"2013"	886	4626402	19.2
	"Louisiana"	"22"	"2014"	"2014"	896	4647880	19.3
	"Louisiana"	"22"	"2015"	"2015"	952	4668960	20.4
	"Louisiana"	"22"	"2016"	"2016"	987	4681666	21.1
"Total"	"Louisiana"	"22"			15460	81497430	19.0
	"Maine"	"23"	"1999"	"1999"	113	1266808	8.9
	"Maine"	"23"	"2000"	"2000"	112	1274923	8.8
	"Maine"	"23"	"2001"	"2001"	98	1285692	7.6
	"Maine"	"23"	"2002"	"2002"	88	1295960	6.8
	"Maine"	"23"	"2003"	"2003"	82	1306513	6.3
	"Maine"	"23"	"2004"	"2004"	108	1313688	8.2
	"Maine"	"23"	"2005"	"2005"	109	1318787	8.3
	"Maine"	"23"	"2006"	"2006"	105	1323619	7.9
	"Maine"	"23"	"2007"	"2007"	107	1327040	8.1
	"Maine"	"23"	"2008"	"2008"	122	1330509	9.2
	"Maine"	"23"	"2009"	"2009"	122	1329590	9.2
	"Maine"	"23"	"2010"	"2010"	113	1328361	8.5
	"Maine"	"23"	"2011"	"2011"	136	1328231	10.2
	"Maine"	"23"	"2012"	"2012"	130	1328895	9.8
	"Maine"	"23"	"2013"	"2013"	158	1329076	11.9
	"Maine"	"23"	"2014"	"2014"	133	1330719	10.0
	"Maine"	"23"	"2015"	"2015"	144	1329453	10.8
	"Maine"	"23"	"2016"	"2016"	123	1331479	9.2
"Total"	"Maine"	"23"			2103	23679343	8.9
	"Maryland"	"24"	"1999"	"1999"	657	5254509	12.5
	"Maryland"	"24"	"2000"	"2000"	617	5296486	11.6
	"Maryland"	"24"	"2001"	"2001"	607	5374691	11.3
	"Maryland"	"24"	"2002"	"2002"	615	5440389	11.3
	"Maryland"	"24"	"2003"	"2003"	648	5496269	11.8
	"Maryland"	"24"	"2004"	"2004"	656	5546935	11.8
	"Maryland"	"24"	"2005"	"2005"	657	5592379	11.7
	"Maryland"	"24"	"2006"	"2006"	678	5627367	12.0
	"Maryland"	"24"	"2007"	"2007"	678	5653408	12.0
	"Maryland"	"24"	"2008"	"2008"	665	5684965	11.7
	"Maryland"	"24"	"2009"	"2009"	586	5730388	10.2
	"Maryland"	"24"	"2010"	"2010"	538	5773552	9.3
	"Maryland"	"24"	"2011"	"2011"	542	5843603	9.3
	"Maryland"	"24"	"2012"	"2012"	589	5889651	10.0
	"Maryland"	"24"	"2013"	"2013"	578	5931129	9.7
	"Maryland"	"24"	"2014"	"2014"	546	5967295	9.1
	"Maryland"	"24"	"2015"	"2015"	708	5994983	11.8
	"Maryland"	"24"	"2016"	"2016"	707	6016447	11.8
"Total"	"Maryland"	"24"			11272	102114446	11.0
	"Massachusetts"	"25"	"1999"	"1999"	195	6317345	3.1
	"Massachusetts"	"25"	"2000"	"2000"	176	6349097	2.8
	"Massachusetts"	"25"	"2001"	"2001"	194	6397634	3.0
	"Massachusetts"	"25"	"2002"	"2002"	204	6417206	3.2
	"Massachusetts"	"25"	"2003"	"2003"	204	6422565	3.2
	"Massachusetts"	"25"	"2004"	"2004"	206	6412281	3.2
	"Massachusetts"	"25"	"2005"	"2005"	224	6403290	3.5
	"Massachusetts"	"25"	"2006"	"2006"	211	6410084	3.3
	"Massachusetts"	"25"	"2007"	"2007"	235	6431559	3.7
	"Massachusetts"	"25"	"2008"	"2008"	224	6468967	3.5
	"Massachusetts"	"25"	"2009"	"2009"	207	6517613	3.2
	"Massachusetts"	"25"	"2010"	"2010"	270	6547629	4.1
	"Massachusetts"	"25"	"2011"	"2011"	254	6611923	3.8
	"Massachusetts"	"25"	"2012"	"2012"	233	6658008	3.5
	"Massachusetts"	"25"	"2013"	"2013"	213	6706786	3.2
	"Massachusetts"	"25"	"2014"	"2014"	226	6749911	3.3
	"Massachusetts"	"25"	"2015"	"2015"	213	6784240	3.1
	"Massachusetts"	"25"	"2016"	"2016"	242	6811779	3.6
"Total"	"Massachusetts"	"25"			3931	117417917	3.3
	"Michigan"	"26"	"1999"	"1999"	1085	9897116	11.0
	"Michigan"	"26"	"2000"	"2000"	1071	9938444	10.8
	"Michigan"	"26"	"2001"	"2001"	1077	9991120	10.8
	"Michigan"	"26"	"2002"	"2002"	1092	10015710	10.9
	"Michigan"	"26"	"2003"	"2003"	1030	10041152	10.3
	"Michigan"	"26"	"2004"	"2004"	1048	10055315	10.4
	"Michigan"	"26"	"2005"	"2005"	1074	10051137	10.7
	"Michigan"	"26"	"2006"	"2006"	1157	10036081	11.5
	"Michigan"	"26"	"2007"	"2007"	1095	10001284	10.9
	"Michigan"	"26"	"2008"	"2008"	1081	9946889	10.9
	"Michigan"	"26"	"2009"	"2009"	1095	9901591	11.1
	"Michigan"	"26"	"2010"	"2010"	1076	9883640	10.9
	"Michigan"	"26"	"2011"	"2011"	1156	9876213	11.7
	"Michigan"	"26"	"2012"	"2012"	1222	9887238	12.4
	"Michigan"	"26"	"2013"	"2013"	1190	9898982	12.0
	"Michigan"	"26"	"2014"	"2014"	1095	9915767	11.0
